EmpID,First Name,Last Name,Title,Supervisor,Department,Division,Level,Username,Password
3427,Anthony,Absolute,CEO,N/A,N/A,N/A,1,anthonyabsolute,anthonyabsolute
3428,Nick ,Adams,CFO,Anthony Absolute,Finance,Finance,2,nickadams,nickadams
3429,Parson,Adams,COO,Anthony Absolute,Operations,Operations,2,parsonadams,parsonadams
3430,Frankie,Addams,VP - Supply Chain & Manufacturing,Parson Adams,Finance,Supply Chain and Manufacturing,3,frankieaddams,frankieaddams
3431,Anthony,Adverse,VP - Marketing,Parson Adams,Marketing,Marketing,3,anthonyadverse,anthonyadverse
3432,Squire,Allworthy,VP - Sales,Nick Adams,Sales,Sales,3,pamelaandrews,pamelaandrews
3433,Pamela,Andrews,VP - Operations,Parson Adams,Operations,Operations,3,pamelaandrews,pamelaandrews
3434,Harry,Angstrom,F&A Controller,Nick Adams,Finance,Finance,3,harryangstrom,harryangstrom
3435,Isabel,Archer,Senior Supply Chain Manager,Frankie Addams,Finance,Supply Chain and Manufacturing,4,isabelarcher,isabelarcher
3436,Enoch,Arden,Logistics Specialist,Frankie Addams,Finance,Supply Chain and Manufacturing,4,enocharden,enocharden
3437,Gustave,von Aschenbach,Production Manager,Frankie Addams,Finance,Supply Chain and Manufacturing,4,gustavevonaschenbach,gustavevonaschenbach
3438,Brett,Ashley,Order Management,Isabel Archer,Finance,Supply Chain and Manufacturing,5,brettashley,brettashley
3439,Bilbo,Baggins,Order Management,Isabel Archer,Finance,Supply Chain and Manufacturing,5,bilbobaggins,bilbobaggins
3440,Harry,Bailly,Order Management,Isabel Archer,Finance,Supply Chain and Manufacturing,5,harrybailly,harrybailly
3441,David,Balfour,Demand Planner,Isabel Archer,Finance,Supply Chain and Manufacturing,5,davidbalfour,davidbalfour
3442,Jake,Barnes,Demand Planner,Isabel Archer,Finance,Supply Chain and Manufacturing,5,jakebarnes,jakebarnes
3443,Lily,Bart,Demand Planner,Isabel Archer,Finance,Supply Chain and Manufacturing,5,lilybart,lilybart
3444,Evgeny,Bazarov,Supply Planner,Isabel Archer,Finance,Supply Chain and Manufacturing,5,evgenybazarov,evgenybazarov
3445,Adam,Bede,Supply Planner,Isabel Archer,Finance,Supply Chain and Manufacturing,5,adambede,adambede
3446,Pierre,Bezukhov,Supply Planner,Isabel Archer,Finance,Supply Chain and Manufacturing,5,pierrebezukhov,pierrebezukhov
3447,Rupert,Birkin,Production Duty Manager,Gustave von Aschenbach,Finance,Supply Chain and Manufacturing,5,rupertbirkin,rupertbirkin
3448,Anthony,Blanche,Production Assistant,Rupert Birkin,Finance,Supply Chain and Manufacturing,6,anthonyblanche,anthonyblanche
3449,Molly,Bloom,Production Assistant,Rupert Birkin,Finance,Supply Chain and Manufacturing,6,mollybloom,mollybloom
3450,William,Boldwood,Production Assistant,Rupert Birkin,Finance,Supply Chain and Manufacturing,6,williamboldwood,williamboldwood
3451,Josiah,Bounderby,Production Assistant,Rupert Birkin,Finance,Supply Chain and Manufacturing,6,josiahbounderby,josiahbounderby
3452,Emma,Bovary,Production Assistant,Rupert Birkin,Finance,Supply Chain and Manufacturing,6,emmabovary,emmabovary
3453,Sally,Bowles,Brand Manager,Anthony Adverse,Marketing,Branding,4,sallybowles,sallybowles
3454,Augusta,Bracknell,Director of Product Marketing,Anthony Adverse,Marketing,Branding,4,augustabracknell,augustabracknell
3455,Matthew,Bramble,Product Marketing Manager,Augusta Bracknell,Marketing,Branding,5,matthewbramble,matthewbramble
3456,Dave,Brandstetter,Product Marketing Specialist,Augusta Bracknell,Marketing,Branding,5,davebrandstetter,davebrandstetter
3457,Ursula,Brangwen,Creative Director,Anthony Adverse,Marketing,Branding,4,ursulabrangwen,ursulabrangwen
3458,Hans,Brinker,UI/UX Designer,Ursula Brangwen,Marketing,Digital,5,hansbrinker,hansbrinker
3459,Lily,Briscoe,UI/UX Designer,Ursula Brangwen,Marketing,Digital,5,lilybriscoe,lilybriscoe
